,Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Other.5, Other.6, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other.7, Timestamp (Formatted)
0,0.0,84500.83696852172,110186.70173724912,0.0,-187500.02235174447,-43178.58584863971,-52989.99583601902,-53306.585944484,-56436.9701071942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.465,0.11,192.0,3.0,24.0,14.5,8.0,3.0,112.0,0.0,0.0,0.0,1647985901.830235,0.0, 2022-03-22 22:51:41.830
1,96.0,85685.59118337526,91366.309388436,0.0,-187500.02235174447,-43977.101919305554,-52920.99600088549,-53481.35423438004,-55131.24825134853,-53766.60719711867,187500.0,-22929.02295935428,-47041.727249828255,-54314.806081629526,-62272.47414260795,0.0,-24385.082648406347,0.099,0.465,0.11,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.830244,0.0, 2022-03-22 22:51:41.830
2,98.0,84915.17125548974,95498.31992367744,0.0,-187500.02235174447,-42544.735079376114,-52360.70482262431,-52685.67683526002,-55933.18413891603,-52834.87472949919,187500.0,-22086.161027689104,-46060.68683394037,-53464.83629522757,-61422.37024573926,0.0,-24125.265970857858,0.099,0.465,0.11,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.830246,0.0, 2022-03-22 22:51:41.830
3,0.0,42979.14123286501,55477.38736598341,0.0,-93750.01117587223,-21561.63264055641,-26232.789603804304,-24722.07989955901,-27110.117925419563,-26952.783996198657,93749.98882412778,-11643.940108292116,-23562.00201058412,-27333.59066648372,-31268.01178074024,0.0,-12333.089093338143,0.212,0.936,0.216,192.0,3.0,80.0,14.5,32.0,3.0,96.0,0.0,0.0,0.0,1647985901.906996,0.0, 2022-03-22 22:51:41.906
4,2.0,86554.67171128652,89243.58656925996,0.0,-187500.02235174447,-42252.46366887852,-51606.75813040235,-48570.69832929353,-53522.12381626652,-52535.62957473154,187500.0,-21864.029391292264,-43847.90883635388,-52943.28069010743,-60430.265716346,0.0,-23931.342235963613,0.212,0.936,0.216,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.913156,0.0, 2022-03-22 22:51:41.913
5,4.0,85412.38581089805,110751.08328474562,0.0,-187500.02235174447,-41732.56209284808,-51846.74881061898,-48601.14140524166,-54753.48141830938,-52112.77927312604,187500.0,-21868.097408783127,-43342.111211074734,-52960.8491612493,-60287.48277276549,0.0,-24253.74379798696,0.212,0.936,0.216,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.92098,0.0, 2022-03-22 22:51:41.920
6,6.0,86321.09598172856,101029.05792344308,0.0,-187500.02235174447,-42964.970226880345,-52190.13866068586,-49183.22553434677,-53814.43993025302,-52930.115512623255,187500.0,-22494.28152969856,-44201.96046852595,-53579.858372194576,-60950.65903075445,0.0,-24335.23825827101,0.212,0.936,0.216,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.929131,0.0, 2022-03-22 22:51:41.929
7,8.0,85995.051085359,95534.46269446168,0.0,-187500.02235174447,-41411.83691165887,-51363.9734821288,-48167.00347268623,-54117.59664030036,-52067.00290048157,187500.0,-21491.00112807764,-43349.55434197836,-52557.422525575465,-60036.74090346586,0.0,-23868.176206132917,0.208,0.926,0.206,192.0,3.0,64.0,14.0,120.0,3.0,56.0,0.0,0.0,0.0,1647985901.935703,0.0, 2022-03-22 22:51:41.935
8,10.0,85608.79058942683,114427.6099714768,0.0,-187500.02235174447,-42717.71522971574,-52399.619209721,-49284.2330675403,-54604.797614192685,-52628.21050026542,187500.0,-22456.79765424701,-43844.82429561905,-53552.991575359294,-60825.19868912682,0.0,-24525.786879752504,0.208,0.926,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.943508,0.0, 2022-03-22 22:51:41.943
9,12.0,86560.97490322292,89257.9140374558,0.0,-187500.02235174447,-42266.90289579664,-51624.08073235521,-48602.28134420888,-53534.84195886159,-52565.26798787928,187500.0,-21883.721278157387,-43868.94182788632,-52973.321434655365,-60457.110161436816,0.0,-23932.817451097664,0.208,0.926,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.958718,0.0, 2022-03-22 22:51:41.958
